"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Quebec","2016A000224","House only","Index, 201612=100","347","units","0","v111955473","11.2","151.4","","","","1"
"2025-02","Quebec","2016A000224","House only","Index, 201612=100","347","units","0","v111955473","11.2","151.6","","","","1"
"2025-03","Quebec","2016A000224","House only","Index, 201612=100","347","units","0","v111955473","11.2","152.5","","","","1"
"2025-04","Quebec","2016A000224","House only","Index, 201612=100","347","units","0","v111955473","11.2","152.8","","","","1"
"2025-05","Quebec","2016A000224","House only","Index, 201612=100","347","units","0","v111955473","11.2","152.7","","","","1"
"2025-06","Quebec","2016A000224","House only","Index, 201612=100","347","units","0","v111955473","11.2","152.6","","","","1"
"2025-07","Quebec","2016A000224","House only","Index, 201612=100","347","units","0","v111955473","11.2","153.0","","","","1"
"2025-08","Quebec","2016A000224","House only","Index, 201612=100","347","units","0","v111955473","11.2","153.7","","","","1"
"2025-09","Quebec","2016A000224","House only","Index, 201612=100","347","units","0","v111955473","11.2","156.0","","","","1"
"2025-10","Quebec","2016A000224","House only","Index, 201612=100","347","units","0","v111955473","11.2","156.8","","","","1"
"2025-11","Quebec","2016A000224","House only","Index, 201612=100","347","units","0","v111955473","11.2","156.9","","","","1"
"2025-12","Quebec","2016A000224","House only","Index, 201612=100","347","units","0","v111955473","11.2","157.4","","","","1"
"2025-01","Quebec","2016A000224","Land only","Index, 201612=100","347","units","0","v111955474","11.3","125.0","E","","","1"
"2025-02","Quebec","2016A000224","Land only","Index, 201612=100","347","units","0","v111955474","11.3","125.3","E","","","1"
"2025-03","Quebec","2016A000224","Land only","Index, 201612=100","347","units","0","v111955474","11.3","126.5","E","","","1"
"2025-04","Quebec","2016A000224","Land only","Index, 201612=100","347","units","0","v111955474","11.3","126.5","E","","","1"
"2025-05","Quebec","2016A000224","Land only","Index, 201612=100","347","units","0","v111955474","11.3","126.5","E","","","1"
"2025-06","Quebec","2016A000224","Land only","Index, 201612=100","347","units","0","v111955474","11.3","126.4","E","","","1"
"2025-07","Quebec","2016A000224","Land only","Index, 201612=100","347","units","0","v111955474","11.3","126.9","E","","","1"
"2025-08","Quebec","2016A000224","Land only","Index, 201612=100","347","units","0","v111955474","11.3","126.9","E","","","1"
"2025-09","Quebec","2016A000224","Land only","Index, 201612=100","347","units","0","v111955474","11.3","127.1","E","","","1"
"2025-10","Quebec","2016A000224","Land only","Index, 201612=100","347","units","0","v111955474","11.3","127.1","E","","","1"
"2025-11","Quebec","2016A000224","Land only","Index, 201612=100","347","units","0","v111955474","11.3","127.1","E","","","1"
"2025-12","Quebec","2016A000224","Land only","Index, 201612=100","347","units","0","v111955474","11.3","127.5","E","","","1"
"2025-01","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","123.3","","","","1"
"2025-02","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","123.4","","","","1"
"2025-03","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","123.2","","","","1"
"2025-04","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","122.7","","","","1"
"2025-05","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","122.1","","","","1"
"2025-06","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","122.0","","","","1"
"2025-07","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","121.8","","","","1"
"2025-08","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","121.6","","","","1"
"2025-09","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","121.0","","","","1"
"2025-10","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","120.3","","","","1"
"2025-11","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","120.2","","","","1"
"2025-12","Ontario","2016A000235","Total (house and land)","Index, 201612=100","347","units","0","v111955490","17.1","120.0","","","","1"
"2025-01","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","125.6","","","","1"
"2025-02","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","125.9","","","","1"
"2025-03","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","125.6","","","","1"
"2025-04","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","125.0","","","","1"
"2025-05","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","124.0","","","","1"
"2025-06","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","123.7","","","","1"
"2025-07","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","123.3","","","","1"
"2025-08","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","123.1","","","","1"
"2025-09","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","122.2","","","","1"
"2025-10","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","121.3","","","","1"
"2025-11","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","121.2","","","","1"
"2025-12","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","121.0","","","","1"
"2025-01","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","118.3","E","","","1"
"2025-02","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","118.2","E","","","1"
"2025-03","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","118.2","E","","","1"
"2025-04","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","118.2","E","","","1"
"2025-05","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","118.5","E","","","1"
"2025-06","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","118.5","E","","","1"
"2025-07","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","118.5","E","","","1"
"2025-08","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","118.5","E","","","1"
"2025-09","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","118.4","E","","","1"
"2025-10","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","118.4","E","","","1"
"2025-11","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","118.3","E","","","1"
"2025-12","Ontario","2016A000235","Land only","Index, 201612=100","347","units","0","v111955492","17.3","118.2","E","","","1"
"2025-01","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","123.0","","","","1"
"2025-02","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","122.9","","","","1"
"2025-03","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","122.8","","","","1"
"2025-04","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","121.9","","","","1"
"2025-05","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","122.1","","","","1"
"2025-06","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","121.5","","","","1"
"2025-07","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","121.5","","","","1"
"2025-08","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","120.9","","","","1"
"2025-09","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","120.7","","","","1"
"2025-10","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","120.2","","","","1"
"2025-11","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","120.6","","","","1"
"2025-12","Prairie Region","2016A00014","Total (house and land)","Index, 201612=100","347","units","0","v111955523","28.1","120.4","","","","1"
"2025-01","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","129.6","","","","1"
"2025-02","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","129.5","","","","1"
"2025-03","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","129.3","","","","1"
"2025-04","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","128.0","","","","1"
"2025-05","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","128.2","","","","1"
"2025-06","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","127.4","","","","1"
"2025-07","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","127.0","","","","1"
"2025-08","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","126.2","","","","1"
"2025-09","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","126.0","","","","1"
"2025-10","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.2","","","","1"
"2025-11","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.8","","","","1"
"2025-12","Prairie Region","2016A00014","House only","Index, 201612=100","347","units","0","v111955524","28.2","125.6","","","","1"
