"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v110794193","3.1.1.15.1","16600","E","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110794200","3.1.1.16.1","14700","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Current smoker, daily","Number of persons","Number","223","units","0","v110794200","3.1.1.16.1","12400","E","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949921","3.1.1.28.1","34400","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Cannabis use, past 12 months","Number of persons","Number","223","units","0","v1390949921","3.1.1.28.1","30600","","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949929","3.1.1.29.1","8500","E","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Cannabis frequency of use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1390949929","3.1.1.29.1","13000","E","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Heavy drinking","Number of persons","Number","223","units","0","v110794207","3.1.1.17.1","27700","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Heavy drinking","Number of persons","Number","223","units","0","v110794207","3.1.1.17.1","26500","","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Number of persons","Number","223","units","0","v110794214","3.1.1.18.1","67000","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Number of persons","Number","223","units","0","v110794214","3.1.1.18.1","71300","","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number","223","units","0","v110794221","3.1.1.19.1","4800","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Number of persons","Number","223","units","0","v110794221","3.1.1.19.1","6000","","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Breast milk feeding initiation","Number of persons","Number","223","units","0","v110794228","3.1.1.20.1","","..","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Breast milk feeding initiation","Number of persons","Number","223","units","0","v110794228","3.1.1.20.1","","..","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Exclusive breastfeeding, at least 6 months","Number of persons","Number","223","units","0","v110794235","3.1.1.21.1","","..","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Exclusive breastfeeding, at least 6 months","Number of persons","Number","223","units","0","v110794235","3.1.1.21.1","","..","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110794242","3.1.1.22.1","26800","","","","0"
"2020","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number","223","units","0","v110794242","3.1.1.22.1","24300","","","","0"
"2019","Prince Edward Island","2016A000211","Total, 12 years and over","Both sexes","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number","223","units","0","v110794249","3.1.1.23.1","96100","","","","0"
